Indicator.Group...Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
Protection,% of households reporting risk of eviction by reason,Local community does not accept our family living in the area,governorate_gaza,,,sp3_iv,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,Request to vacate from owner of building/land,governorate_gaza,,,sp3_v,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,No valid tenancy agreement,governorate_gaza,,,sp3_vi,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,Inadequate housing / shelter condition,governorate_gaza,,,sp3_vii,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,Housing occupied by other groups,governorate_gaza,,,sp3_viii,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,Risk of property being confiscated,governorate_gaza,,,sp3_ix,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,Ownership of property is disputed,governorate_gaza,,,sp3_x,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days,governorate_gaza,,,sp4,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Disrupting sleep or daily life/activities,governorate_gaza,,,sp4_i,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),"Menacing behavior (e.g. threats, pointing of weaponry, firing weaponry)",governorate_gaza,,,sp4_ii,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Verbal abuse or harm,governorate_gaza,,,sp4_iii,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Sexual harassment or abuse,governorate_gaza,,,sp4_iv,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Obstructed travel to or from shelter,governorate_gaza,,,sp4_v,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Obstructed access to areas in your vicinity (e.g. farm or pasture land),governorate_gaza,,,sp4_vi,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),"Physical violence (e.g. stone throwing, beating, shooting)",governorate_gaza,,,sp4_vii,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Damage (inc. vandalism) or destruction of personal property (non-shelter related) (e.g. vehicles),governorate_gaza,,,sp4_viii,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Damage (inc. vandalism) or destruction of shelters,governorate_gaza,,,sp4_ix,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),"Damage or destruction of livelihood/economic resources (e.g. trees, herds, barns, cisterns/water networks)",governorate_gaza,,,sp4_x,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Theft of personal property,governorate_gaza,,,sp4_xi,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Occupation of all or part of shelter,governorate_gaza,,,sp4_xii,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Forced eviction,governorate_gaza,,,sp4_xiii,numerical,direct_reporting
Protection,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Detention,governorate_gaza,,,sp4_xiv,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area,governorate_gaza,,,p1,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,"Changed livelihood behaviors (e.g. not grazed flocks, planted, harvested in dangerous areas)",governorate_gaza,,,p1_i,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,None,governorate_gaza,,,p1_ii,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Withheld children from school,governorate_gaza,,,p1_iii,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Withheld children from travel,governorate_gaza,,,p1_iv,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Withheld adult family members from travel,governorate_gaza,,,p1_v,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,"Added security or protection measures (e.g. alarms, lights, locks, community watch)",governorate_gaza,,,p1_vi,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Moved property to safer location,governorate_gaza,,,p1_vii,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Sent children to live elsewhere on at least one occasion,governorate_gaza,,,p1_viii,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Sent adult family members to live elsewhere on at least one occasion,governorate_gaza,,,p1_ix,numerical,direct_reporting
Protection,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Entire household has moved from a certain area on at least one occasion,governorate_gaza,,,p1_x,numerical,direct_reporting
Protection,% of households reporting the availability of PSS services in schools,% of households reporting the availability of PSS services in schools,governorate_gaza,,,ep1,numerical,direct_reporting
Protection,% of households reporting the availability of PSS services in school by type of service,Trained counsellors available,governorate_gaza,,,ep1_i,numerical,direct_reporting
Protection,% of households reporting the availability of PSS services in school by type of service,Teachers trained in PSS available,governorate_gaza,,,ep1_ii,numerical,direct_reporting
Protection,% of households reporting the availability of PSS services in school by type of service,Information on external PSS services,governorate_gaza,,,ep1_iii,numerical,direct_reporting
Protection,% of households reporting barriers to accessing education,% of households reporting barriers to accessing education,governorate_gaza,,,ep2,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,School stopped functioning and is now closed,governorate_gaza,,,ep2_i,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,Going to or attending school is not safe for girls,governorate_gaza,,,ep2_ii,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,Going to or attending school is not safe for boys,governorate_gaza,,,ep2_iii,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,We can’t afford to pay for the school related expenses,governorate_gaza,,,ep2_iv,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,We are not able to register or enrol our children in the school,governorate_gaza,,,ep2_v,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,Lack of available schools in the area,governorate_gaza,,,ep2_vi,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,Our children can’t physically go to the school,governorate_gaza,,,ep2_vii,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,School and classes are overcrowded,governorate_gaza,,,ep2_viii,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,Lack of staff to run the school,governorate_gaza,,,ep2_ix,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,The school infrastructure is poor,governorate_gaza,,,ep2_x,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,The curriculum and teaching are not adapted for our children,governorate_gaza,,,ep2_xi,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,Children busy working or supporting the household,governorate_gaza,,,ep2_xii,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,Parental refusal to send children to school,governorate_gaza,,,ep2_xiii,numerical,direct_reporting
Protection,% of households reporting barriers to school by type of barriers,Lack of interest of children in education.,governorate_gaza,,,ep2_xiv,numerical,direct_reporting
Protection,Main barriers to employment,"Increased competition for jobs, not enough jobs",governorate_gaza,,,l10_i,numerical,direct_reporting
Protection,Main barriers to employment,Available jobs are too far away,governorate_gaza,,,l10_ii,numerical,direct_reporting
Protection,Main barriers to employment,"Only low-skilled, socially degrading, dangerous or low-paying jobs",governorate_gaza,,,l10_iii,numerical,direct_reporting
Protection,Main barriers to employment,Underqualified for available jobs,governorate_gaza,,,l10_iv,numerical,direct_reporting
Protection,Main barriers to employment,Lack of family/personal connections,governorate_gaza,,,l10_v,numerical,direct_reporting
Protection,Main barriers to employment,Lack of livelihood/employment opportunities for women,governorate_gaza,,,l10_vi,numerical,direct_reporting
Protection,Main barriers to employment,Lack of livelihood/employment opportunities for persons with disabilities,governorate_gaza,,,l10_vii,numerical,direct_reporting
Protection,Main barriers to employment,"Restrictions on physically accessing work (e.g. checkpoints, permits)",governorate_gaza,,,l10_viii,numerical,direct_reporting
Protection,% of  HH reporting at least one person under (<18) working,% of  HH with at least one person under (<18) working,governorate_gaza,,,lp1,numerical,direct_reporting
